Date,Time,Open,High,Low,Close,EMA,Super Trend UP,Super Trend DN,EMA 100
12-Mar-26,10.05,143.24,143.24,142.8,142.88,146.3379098228182,,144.17639806329785,146.3379098228182
12-Mar-26,10.10,142.88,142.97,142.6,142.6,146.33044147152387,,144.17639806329785,146.33044147152387
12-Mar-26,10.15,142.65,142.95,142.62,142.87,146.3235275025498,,144.17639806329785,146.3235275025498
12-Mar-26,10.20,142.95,142.95,142.69,142.92,146.31672724779946,,144.17639806329785,146.31672724779946
12-Mar-26,10.25,142.92,143.57,142.92,143.36,146.3108197008508,,144.17639806329785,146.3108197008508
12-Mar-26,10.30,143.23,143.53,143.0,143.53,146.3052636175324,,144.17639806329785,146.3052636175324
12-Mar-26,10.35,143.53,143.9,143.53,143.7,146.30005829561927,,144.17639806329785,146.30005829561927
12-Mar-26,10.40,143.64,144.0,143.57,143.72,146.29490333398965,,144.17639806329785,146.29490333398965
12-Mar-26,10.45,143.66,143.72,143.5,143.6,146.28951891174393,,144.17639806329785,146.28951891174393
12-Mar-26,10.50,143.6,143.72,143.51,143.64,146.28422516766452,,144.17639806329785,146.28422516766452
12-Mar-26,10.55,143.51,143.82,143.5,143.72,146.27910184065618,,144.17639806329785,146.27910184065618
12-Mar-26,11.00,143.71,144.05,143.71,144.05,146.2746480907248,,144.17639806329785,146.2746480907248
12-Mar-26,11.05,144.07,144.19,143.79,143.79,146.2696837588752,,144.17639806329785,146.2696837588752
12-Mar-26,11.10,143.93,144.19,143.91,144.01,146.2651689062101,,144.17639806329785,146.2651689062101
12-Mar-26,11.15,144.06,144.18,143.97,144.0,146.26064309420968,,144.17639806329785,146.26064309420968
12-Mar-26,11.20,144.07,144.07,143.71,144.0,146.25612632479067,,144.17639806329785,146.25612632479067
12-Mar-26,11.25,144.0,144.2,143.93,144.03,146.25167851994593,,144.17639806329785,146.25167851994593
12-Mar-26,11.30,143.99,144.11,143.84,143.84,146.24685998144454,,144.17639806329785,146.24685998144454
12-Mar-26,11.35,143.86,144.2,143.86,144.11,146.24259053093218,,144.17639806329785,146.24259053093218
12-Mar-26,11.40,144.3,144.4,144.11,144.23,146.23856937103022,143.18196284819956,,146.23856937103022
12-Mar-26,11.45,144.23,144.23,143.5,143.51,146.23311768397522,143.18196284819956,,146.23311768397522
12-Mar-26,11.50,143.51,143.75,143.4,143.59,146.2278367295617,143.18196284819956,,146.2278367295617
12-Mar-26,11.55,143.71,143.95,143.59,143.89,146.22316572710503,143.18196284819956,,146.22316572710503
12-Mar-26,12.00,143.89,143.94,143.13,143.75,146.21822433704088,143.18196284819956,,146.21822433704088
12-Mar-26,12.05,143.84,143.87,143.69,143.69,146.21317293976406,143.18196284819956,,146.21317293976406
12-Mar-26,12.10,143.74,143.88,143.54,143.88,146.20851125556874,143.18196284819956,,146.20851125556874
12-Mar-26,12.15,143.99,143.99,143.65,143.75,146.203599145168,143.18196284819956,,146.203599145168
12-Mar-26,12.20,143.75,144.07,143.64,143.97,146.19913640961323,143.18196284819956,,146.19913640961323
12-Mar-26,12.25,144.0,144.0,143.7,143.85,146.19444283037325,143.18196284819956,,146.19444283037325
12-Mar-26,12.30,143.9,143.9,143.36,143.36,146.18877960793495,143.18196284819956,,146.18877960793495
12-Mar-26,12.35,143.36,143.5,143.36,143.49,146.18338744088612,143.18196284819956,,146.18338744088612
12-Mar-26,12.40,143.45,143.45,143.09,143.29,146.17760644699823,143.18196284819956,,146.17760644699823
12-Mar-26,12.45,143.33,143.55,143.33,143.4,146.17205678376746,143.18196284819956,,146.17205678376746
12-Mar-26,12.50,143.49,143.75,143.37,143.5,146.16671800897473,143.18196284819956,,146.16671800897473
12-Mar-26,12.55,143.49,143.53,143.43,143.5,146.1613899010647,143.18196284819956,,146.1613899010647
12-Mar-26,13.00,143.5,143.5,143.32,143.41,146.1558926185451,143.18196284819956,,146.1558926185451
12-Mar-26,13.05,143.4,143.4,143.11,143.39,146.150366359567,143.18196284819956,,146.150366359567
12-Mar-26,13.10,143.39,143.48,143.29,143.45,146.14497102218525,143.18196284819956,,146.14497102218525
12-Mar-26,13.15,143.45,143.56,143.36,143.38,146.13944660455851,143.18196284819956,,146.13944660455851
12-Mar-26,13.20,143.44,143.53,143.37,143.53,146.13423292502893,143.18196284819956,,146.13423292502893
12-Mar-26,13.25,143.54,143.73,143.54,143.7,146.12936932278112,143.18196284819956,,146.12936932278112
12-Mar-26,13.30,143.74,143.98,143.64,143.85,146.12481513832,143.18196284819956,,146.12481513832
12-Mar-26,13.35,143.57,143.96,143.57,143.73,146.1200302928888,143.18196284819956,,146.1200302928888
12-Mar-26,13.40,143.8,143.96,143.65,143.96,146.11571454804786,143.18196284819956,,146.11571454804786
12-Mar-26,13.45,143.95,144.07,143.71,143.77,146.1110278056941,143.18196284819956,,146.1110278056941
