Date,Time,Open,High,Low,Close,VWAP
27-Nov-25,11.15,16091,16115,16025,16040,15979.96133740058
27-Nov-25,12.15,16041,16047,15899,15901,15979.815942001029
27-Nov-25,13.15,15901,15982,15885,15975,15979.699391119711
27-Nov-25,14.15,15976,15979,15875,15904,15979.385746734592
27-Nov-25,15.15,15905,15917,15892,15912,15979.240020606692
28-Nov-25,09.15,15912,15978,15888,15960,15979.069148903009
28-Nov-25,10.15,15958,16049,15950,16009,15979.14518067899
28-Nov-25,11.15,16010,16010,15901,15945,15979.05842944744
28-Nov-25,12.15,15942,15970,15896,15911,15978.831263408923
28-Nov-25,13.15,15916,15926,15850,15890,15978.575472013184
28-Nov-25,14.15,15891,15929,15876,15902,15978.232193819002
28-Nov-25,15.15,15903,15904,15882,15890,15977.9970905694
01-Dec-25,09.15,15971,16084,15875,16001,15978.065860112996
01-Dec-25,10.15,16000,16009,15905,15922,15977.993959291782
01-Dec-25,11.15,15920,15930,15851,15890,15977.846904332631
01-Dec-25,12.15,15888,15922,15885,15919,15977.75674862624
01-Dec-25,13.15,15920,16035,15920,16033,15977.811686003995
01-Dec-25,14.15,16032,16177,16002,16103,15979.162857559755
01-Dec-25,15.15,16101,16145,16097,16125,15979.526999350495
02-Dec-25,09.15,16101,16249,16095,16162,15981.080123100888
02-Dec-25,10.15,16162,16217,16140,16199,15981.737947671592
02-Dec-25,11.15,16199,16225,16155,16174,15982.323790245102
02-Dec-25,12.15,16174,16209,16150,16179,15982.833995353434
02-Dec-25,13.15,16179,16213,16160,16208,15983.376421856614
02-Dec-25,14.15,16208,16244,16190,16244,15984.49436156281
02-Dec-25,15.15,16243,16261,16220,16245,15984.97126104609
03-Dec-25,09.15,16225,16248,16070,16099,15985.545123896229
03-Dec-25,10.15,16096,16112,16025,16038,15985.710145708548
03-Dec-25,11.15,16038,16079,16010,16040,15985.80748752983
03-Dec-25,12.15,16041,16070,16030,16069,15985.93749509002
03-Dec-25,13.15,16070,16094,16061,16090,15986.126500882889
03-Dec-25,14.15,16089,16099,16061,16087,15986.502572148196
03-Dec-25,15.15,16087,16089,16056,16075,15986.681417182695
04-Dec-25,09.15,16058,16135,15981,15989,15986.79850388452
04-Dec-25,10.15,15986,16021,15962,15980,15986.801311641331
04-Dec-25,11.15,15981,15988,15887,15930,15986.690337651107
04-Dec-25,12.15,15930,15975,15916,15949,15986.58936011654
04-Dec-25,13.15,15948,15965,15907,15961,15986.52654069668
04-Dec-25,14.15,15961,16024,15958,15991,15986.539237217688
04-Dec-25,15.15,15990,15999,15979,15990,15986.543787639126
05-Dec-25,09.15,16009,16154,15979,16120,15987.046219355589
05-Dec-25,10.15,16120,16215,16062,16196,15987.608374643583
05-Dec-25,11.15,16198,16225,16197,16200,15987.965940448015
05-Dec-25,12.15,16201,16225,16185,16199,15988.288498948425
05-Dec-25,13.15,16201,16216,16189,16193,15988.581493869488
05-Dec-25,14.15,16193,16291,16152,16279,15989.928824035967
05-Dec-25,15.15,16279,16338,16273,16300,15990.854591023195
08-Dec-25,09.15,16218,16256,16151,16183,15991.2891406382
08-Dec-25,10.15,16183,16210,16165,16169,15991.483755768795
08-Dec-25,11.15,16168,16180,16140,16175,15991.655509178065
08-Dec-25,12.15,16174,16182,16154,16167,15991.861600141992
08-Dec-25,13.15,16166,16195,16094,16180,15992.293018575134
08-Dec-25,14.15,16181,16241,16157,16185,15993.24237023973
08-Dec-25,15.15,16185,16187,16167,16178,15993.477526489953
09-Dec-25,09.15,16107,16171,15985,16058,15993.685636609169
09-Dec-25,10.15,16063,16122,16044,16090,15993.833037497272
09-Dec-25,11.15,16085,16150,16063,16149,15994.006253679348
09-Dec-25,12.15,16149,16226,16146,16152,15994.392376219286
09-Dec-25,13.15,16152,16152,16113,16136,15994.617071410228
09-Dec-25,14.15,16136,16139,16017,16027,15994.950036849776
09-Dec-25,15.15,16026,16034,15987,15995,15994.978363001916
10-Dec-25,09.15,16063,16125,15953,16077,15995.18127751022
10-Dec-25,10.15,16079,16104,15992,16043,15995.296083556294
10-Dec-25,11.15,16044,16069,16018,16058,15995.381120632084
10-Dec-25,12.15,16059,16110,16058,16097,15995.575910790489
10-Dec-25,13.15,16098,16105,15998,16012,15995.702034301206
10-Dec-25,14.15,16012,16029,15925,16020,15995.686855548476
10-Dec-25,15.15,16020,16040,15980,16001,15995.708641803863
11-Dec-25,09.15,16052,16179,15983,16176,15996.001799356758
11-Dec-25,10.15,16176,16238,16164,16206,15996.458953329284
11-Dec-25,11.15,16206,16270,16203,16258,15996.938512019682
11-Dec-25,12.15,16260,16277,16240,16269,15997.376139754975
11-Dec-25,13.15,16269,16296,16170,16190,15998.014084955885
11-Dec-25,14.15,16182,16277,16182,16259,15998.712708980538
11-Dec-25,15.15,16258,16290,16210,16220,15999.205083913124
12-Dec-25,09.15,16273,16529,16247,16460,16001.515230913335
12-Dec-25,10.15,16460,16502,16445,16500,16003.322277820833
12-Dec-25,11.15,16501,16510,16474,16502,16005.07772175199
12-Dec-25,12.15,16500,16510,16461,16501,16006.380307394516
12-Dec-25,13.15,16500,16509,16490,16503,16007.497392609315
12-Dec-25,14.15,16503,16528,16485,16526,16009.51962797125
12-Dec-25,15.15,16525,16536,16508,16515,16010.509453254735
15-Dec-25,09.15,16499,16499,16360,16456,16011.367735490468
15-Dec-25,10.15,16454,16462,16415,16438,16011.90148278311
15-Dec-25,11.15,16438,16454,16409,16424,16012.390708282564
15-Dec-25,12.15,16426,16430,16393,16419,16012.827855906056
15-Dec-25,13.15,16424,16447,16404,16420,16013.402898364397
15-Dec-25,14.15,16420,16439,16409,16430,16015.003259076197
15-Dec-25,15.15,16427,16433,16370,16400,16015.845531783883
16-Dec-25,09.15,16449,16451,16331,16357,16016.491092888631
16-Dec-25,10.15,16357,16400,16347,16392,16016.829136838758
16-Dec-25,11.15,16392,16401,16371,16397,16017.1210059305
16-Dec-25,12.15,16400,16406,16370,16384,16017.419129516347
16-Dec-25,13.15,16383,16405,16367,16399,16017.853299916324
16-Dec-25,14.15,16400,16415,16352,16353,16018.68124862156
16-Dec-25,15.15,16353,16356,16320,16349,16019.042211107251
17-Dec-25,09.15,16377,16490,16357,16423,16020.028378654177
17-Dec-25,10.15,16423,16439,16395,16431,16020.641061552897
17-Dec-25,11.15,16430,16435,16380,16414,16021.926454102488
