Date,Time,Open,High,Low,Close,EMA,Super Trend UP,Super Trend DN,EMA 100,EMA 200
18-Mar-26,10.51,142.18,142.29,142.14,142.14,140.94564560594318,141.45625152396008,,142.21089998738736,140.94564560594318
18-Mar-26,10.54,142.14,142.34,142.14,142.26,140.97167242562747,141.45625152396008,,142.21099808931066,140.97167242562747
18-Mar-26,10.57,142.26,142.35,142.11,142.23,140.99658980333783,141.45625152396008,,142.21103605516618,140.99658980333783
18-Mar-26,11.00,142.12,142.23,142.09,142.09,141.01824149040044,141.45625152396008,,142.21079422488611,141.01824149040044
18-Mar-26,11.03,142.08,142.2,142.08,142.1,141.03966245098658,141.45625152396008,,142.2105728578034,141.03966245098658
18-Mar-26,11.06,142.06,142.08,142.0,142.08,141.06026319453142,141.45625152396008,,142.21031197297265,141.06026319453142
18-Mar-26,11.09,142.13,142.26,142.05,142.19,141.0826342203823,141.45625152396008,,142.21027138961006,141.0826342203823
18-Mar-26,11.12,142.23,142.33,142.23,142.3,141.10674047344403,141.583519410746,,142.2104506675529,141.10674047344403
18-Mar-26,11.15,142.31,142.57,142.31,142.48,141.13393373139564,141.7321674696714,,142.21098922765768,141.13393373139564
18-Mar-26,11.18,142.48,142.5,142.39,142.42,141.15940039017988,141.77495072270426,,142.21140683159842,141.15940039017988
18-Mar-26,11.21,142.42,142.42,142.25,142.25,141.18099642205752,141.77495072270426,,142.211483940826,141.18099642205752
18-Mar-26,11.24,142.32,142.4,142.29,142.29,141.20295688894743,141.77495072270426,,142.21164081606912,141.20295688894743
18-Mar-26,11.27,142.23,142.4,142.23,142.37,141.22606665352276,141.77495072270426,,142.21195721803502,141.22606665352276
18-Mar-26,11.30,142.37,142.41,142.37,142.41,141.24951087820548,141.81885166916626,,142.2123529079091,141.24951087820548
18-Mar-26,11.33,142.41,142.41,142.26,142.3,141.2703126429935,141.81885166916626,,142.2125280269742,141.2703126429935
18-Mar-26,11.36,142.26,142.34,142.25,142.25,141.2897123926372,141.81885166916626,,142.21260289605118,141.2897123926372
18-Mar-26,11.39,142.21,142.26,142.21,142.22,141.30813392941667,141.81885166916626,,142.21261767547966,141.30813392941667
18-Mar-26,11.42,142.25,142.39,142.11,142.11,141.32401246546783,141.81885166916626,,142.21241264515902,141.32401246546783
18-Mar-26,11.45,142.19,142.25,142.11,142.11,141.33957657506252,141.81885166916626,,142.21220802448937,141.33957657506252
18-Mar-26,11.48,142.11,142.17,141.9,141.92,141.3510701082296,141.81885166916626,,142.2116241922726,141.3510701082296
18-Mar-26,11.51,141.92,142.0,141.8,141.81,141.36015782885872,,142.45103405107793,142.210821746334,141.36015782885872
18-Mar-26,11.54,141.82,141.9,141.81,141.81,141.3690655946239,,142.37793064597017,142.21002090368398,141.3690655946239
18-Mar-26,11.57,141.88,141.9,141.8,141.8,141.3775989491858,,142.35063758137315,142.2092016810992,141.3775989491858
18-Mar-26,12.00,141.7,141.79,141.7,141.75,141.38497322741975,,142.22557382323583,142.20828419522286,141.38497322741975
18-Mar-26,12.03,141.75,141.75,141.7,141.75,141.39220148034212,,142.17251644091223,142.20736854248514,141.39220148034212
18-Mar-26,12.06,141.75,141.75,141.69,141.72,141.39869254013732,,142.140764796821,142.2063947791635,141.39869254013732
18-Mar-26,12.09,141.73,141.75,141.73,141.75,141.40564912350092,,142.12768831713893,142.20548290148287,141.40564912350092
18-Mar-26,12.12,141.75,141.75,141.69,141.69,141.41127983392664,,142.08691948542503,142.20445296561576,141.41127983392664
18-Mar-26,12.15,141.7,141.7,141.63,141.69,141.416799045136,,142.01622753688252,142.20342508756258,141.416799045136
18-Mar-26,12.18,141.63,141.82,141.63,141.75,141.42339708384617,,142.01622753688252,142.20251914333167,141.42339708384617
18-Mar-26,12.21,141.73,141.82,141.73,141.74,141.42966644852248,,142.01622753688252,142.2015950291592,141.42966644852248
18-Mar-26,12.24,141.82,141.87,141.74,141.75,141.4360096871656,,142.01622753688252,142.20069274138865,141.4360096871656
18-Mar-26,12.27,141.8,141.8,141.75,141.76,141.4424253369247,,142.01622753688252,142.19981223641085,141.4424253369247
18-Mar-26,12.30,141.76,141.77,141.74,141.74,141.44831790451036,,142.01622753688252,142.1988935306438,141.44831790451036
18-Mar-26,12.33,141.74,141.85,141.74,141.85,141.45627200541114,,142.01622753688252,142.1981964406725,141.45627200541114
18-Mar-26,12.36,141.83,141.83,141.69,141.76,141.46228642114556,,142.01622753688252,142.1973209233085,141.46228642114556
18-Mar-26,12.39,141.78,141.8,141.76,141.79,141.46877579894465,,142.01622753688252,142.1965070952899,141.46877579894465
18-Mar-26,12.42,141.84,141.84,141.67,141.75,141.47434459500516,,142.01622753688252,142.19561497322138,141.47434459500516
18-Mar-26,12.45,141.78,141.85,141.71,141.8,141.48079321688624,,142.01622753688252,142.19482453371444,141.48079321688624
18-Mar-26,12.48,141.76,141.8,141.69,141.8,141.48711414328454,,142.01622753688252,142.19403567350722,141.48711414328454
18-Mar-26,12.51,141.78,141.82,141.7,141.75,141.49231980381356,,142.01622753688252,142.19314848934437,141.49231980381356
18-Mar-26,12.54,141.73,141.88,141.7,141.71,141.49663030274797,,142.01622753688252,142.19218315769731,141.49663030274797
18-Mar-26,12.57,141.81,141.81,141.71,141.71,141.50085544526775,,142.01622753688252,142.19121975478484,141.50085544526775
18-Mar-26,13.00,141.71,141.85,141.71,141.72,141.50519494140107,,142.01622753688252,142.19027825677327,141.50519494140107
18-Mar-26,13.03,141.71,141.85,141.71,141.8,141.51103266533372,,142.01622753688252,142.18949848003646,141.51103266533372
18-Mar-26,13.06,141.8,141.84,141.75,141.83,141.5173488501786,,142.01622753688252,142.18878020135506,141.5173488501786
18-Mar-26,13.09,141.83,141.85,141.76,141.85,141.52393600166022,,142.01622753688252,142.18810331783587,141.52393600166022
18-Mar-26,13.12,141.85,142.24,141.85,142.15,141.53633330855803,141.61317649409034,,142.1880271873307,141.53633330855803
18-Mar-26,13.15,142.12,142.2,142.1,142.1,141.54749502522026,141.73135884468127,,142.18785130883452,141.54749502522026
18-Mar-26,13.18,142.11,142.17,142.1,142.16,141.55962383660204,141.73722296021316,,142.18779566186382,141.55962383660204
18-Mar-26,13.21,142.16,142.25,142.13,142.25,141.57329465171884,141.7960006641919,,142.1879199462557,141.57329465171884
18-Mar-26,13.24,142.25,142.3,142.14,142.14,141.58451653980362,141.81740059777266,,142.18782420210735,141.58451653980362
18-Mar-26,13.27,142.1,142.16,141.85,141.85,141.58977363802532,141.81740059777266,,142.18714922867656,141.58977363802532
