time,open,high,low,close,VWAP
2025-12-01T12:15:00+05:30,15888,15922,15885,15919,15977.75674862624
2025-12-01T13:15:00+05:30,15920,16035,15920,16033,15977.811686003997
2025-12-01T14:15:00+05:30,16032,16177,16002,16103,15979.162857559757
2025-12-01T15:15:00+05:30,16101,16145,16097,16125,15979.526999350495
2025-12-02T09:15:00+05:30,16101,16249,16095,16162,15981.080123100888
2025-12-02T10:15:00+05:30,16162,16217,16140,16199,15981.737947671592
2025-12-02T11:15:00+05:30,16199,16225,16155,16174,15982.323790245102
2025-12-02T12:15:00+05:30,16174,16209,16150,16179,15982.833995353434
2025-12-02T13:15:00+05:30,16179,16213,16160,16208,15983.376421856614
2025-12-02T14:15:00+05:30,16208,16244,16190,16244,15984.49436156281
2025-12-02T15:15:00+05:30,16243,16261,16220,16245,15984.97126104609
2025-12-03T09:15:00+05:30,16225,16248,16070,16099,15985.545123896227
2025-12-03T10:15:00+05:30,16096,16112,16025,16038,15985.710145708548
2025-12-03T11:15:00+05:30,16038,16079,16010,16040,15985.80748752983
2025-12-03T12:15:00+05:30,16041,16070,16030,16069,15985.93749509002
2025-12-03T13:15:00+05:30,16070,16094,16061,16090,15986.126500882889
2025-12-03T14:15:00+05:30,16089,16099,16061,16087,15986.502572148196
2025-12-03T15:15:00+05:30,16087,16089,16056,16075,15986.681417182695
2025-12-04T09:15:00+05:30,16058,16135,15981,15989,15986.79850388452
2025-12-04T10:15:00+05:30,15986,16021,15962,15980,15986.801311641331
2025-12-04T11:15:00+05:30,15981,15988,15887,15930,15986.690337651107
2025-12-04T12:15:00+05:30,15930,15975,15916,15949,15986.589360116539
2025-12-04T13:15:00+05:30,15948,15965,15907,15961,15986.52654069668
2025-12-04T14:15:00+05:30,15961,16024,15958,15991,15986.539237217687
2025-12-04T15:15:00+05:30,15990,15999,15979,15990,15986.543787639126
2025-12-05T09:15:00+05:30,16009,16154,15979,16120,15987.046219355589
2025-12-05T10:15:00+05:30,16120,16215,16062,16196,15987.608374643585
2025-12-05T11:15:00+05:30,16198,16225,16197,16200,15987.965940448015
2025-12-05T12:15:00+05:30,16201,16225,16185,16199,15988.288498948425
2025-12-05T13:15:00+05:30,16201,16216,16189,16193,15988.581493869488
2025-12-05T14:15:00+05:30,16193,16291,16152,16279,15989.928824035967
2025-12-05T15:15:00+05:30,16279,16338,16273,16300,15990.854591023195
2025-12-08T09:15:00+05:30,16218,16256,16151,16183,15991.289140638199
2025-12-08T10:15:00+05:30,16183,16210,16165,16169,15991.483755768795
2025-12-08T11:15:00+05:30,16168,16180,16140,16175,15991.655509178063
2025-12-08T12:15:00+05:30,16174,16182,16154,16167,15991.861600141992
2025-12-08T13:15:00+05:30,16166,16195,16094,16180,15992.293018575134
2025-12-08T14:15:00+05:30,16181,16241,16157,16185,15993.24237023973
2025-12-08T15:15:00+05:30,16185,16187,16167,16178,15993.477526489953
2025-12-09T09:15:00+05:30,16107,16171,15985,16058,15993.685636609169
2025-12-09T10:15:00+05:30,16063,16122,16044,16090,15993.833037497272
2025-12-09T11:15:00+05:30,16085,16150,16063,16149,15994.006253679348
2025-12-09T12:15:00+05:30,16149,16226,16146,16152,15994.392376219286
2025-12-09T13:15:00+05:30,16152,16152,16113,16136,15994.617071410228
2025-12-09T14:15:00+05:30,16136,16139,16017,16027,15994.950036849776
2025-12-09T15:15:00+05:30,16026,16034,15987,15995,15994.978363001917
2025-12-10T09:15:00+05:30,16063,16125,15953,16077,15995.18127751022
2025-12-10T10:15:00+05:30,16079,16104,15992,16043,15995.296083556294
2025-12-10T11:15:00+05:30,16044,16069,16018,16058,15995.381120632084
2025-12-10T12:15:00+05:30,16059,16110,16058,16097,15995.575910790489
2025-12-10T13:15:00+05:30,16098,16105,15998,16012,15995.702034301206
2025-12-10T14:15:00+05:30,16012,16029,15925,16020,15995.686855548476
2025-12-10T15:15:00+05:30,16020,16040,15980,16001,15995.708641803863
2025-12-11T09:15:00+05:30,16052,16179,15983,16176,15996.001799356758
2025-12-11T10:15:00+05:30,16176,16238,16164,16206,15996.458953329284
2025-12-11T11:15:00+05:30,16206,16270,16203,16258,15996.938512019682
2025-12-11T12:15:00+05:30,16260,16277,16240,16269,15997.376139754977
2025-12-11T13:15:00+05:30,16269,16296,16170,16190,15998.014084955883
2025-12-11T14:15:00+05:30,16182,16277,16182,16259,15998.712708980538
2025-12-11T15:15:00+05:30,16258,16290,16210,16220,15999.205083913123
2025-12-12T09:15:00+05:30,16273,16529,16247,16460,16001.515230913337
2025-12-12T10:15:00+05:30,16460,16502,16445,16500,16003.322277820831
2025-12-12T11:15:00+05:30,16501,16510,16474,16502,16005.07772175199
2025-12-12T12:15:00+05:30,16500,16510,16461,16501,16006.380307394515
2025-12-12T13:15:00+05:30,16500,16509,16490,16503,16007.497392609315
2025-12-12T14:15:00+05:30,16503,16528,16485,16526,16009.51962797125
2025-12-12T15:15:00+05:30,16525,16536,16508,16515,16010.509453254737
2025-12-15T09:15:00+05:30,16499,16499,16360,16456,16011.367735490468
2025-12-15T10:15:00+05:30,16454,16462,16415,16438,16011.90148278311
2025-12-15T11:15:00+05:30,16438,16454,16409,16424,16012.390708282564
2025-12-15T12:15:00+05:30,16426,16430,16393,16419,16012.827855906055
2025-12-15T13:15:00+05:30,16424,16447,16404,16420,16013.402898364397
2025-12-15T14:15:00+05:30,16420,16439,16409,16430,16015.003259076195
2025-12-15T15:15:00+05:30,16427,16433,16370,16400,16015.845531783885
2025-12-16T09:15:00+05:30,16449,16451,16331,16357,16016.491092888633
2025-12-16T10:15:00+05:30,16357,16400,16347,16392,16016.829136838758
2025-12-16T11:15:00+05:30,16392,16401,16371,16397,16017.121005930501
2025-12-16T12:15:00+05:30,16400,16406,16370,16384,16017.419129516347
2025-12-16T13:15:00+05:30,16383,16405,16367,16399,16017.853299916324
2025-12-16T14:15:00+05:30,16400,16415,16352,16353,16018.68124862156
2025-12-16T15:15:00+05:30,16353,16356,16320,16349,16019.042211107253
2025-12-17T09:15:00+05:30,16377,16490,16357,16423,16020.028378654175
2025-12-17T10:15:00+05:30,16423,16439,16395,16431,16020.641061552895
2025-12-17T11:15:00+05:30,16430,16435,16380,16414,16021.926454102488
2025-12-17T12:15:00+05:30,16412,16419,16381,16387,16022.39498400477
2025-12-17T13:15:00+05:30,16389,16400,16385,16398,16022.905721900737
2025-12-17T14:15:00+05:30,16398,16425,16374,16396,16024.160583989125
2025-12-17T15:15:00+05:30,16399,16414,16373,16385,16024.627477780174
2025-12-18T09:15:00+05:30,16440,16486,16221,16250,16025.39046245409
2025-12-18T10:15:00+05:30,16250,16335,16242,16305,16025.600525674314
2025-12-18T11:15:00+05:30,16301,16343,16290,16343,16025.807643208062
2025-12-18T12:15:00+05:30,16343,16395,16321,16392,16026.053425454671
2025-12-18T13:15:00+05:30,16395,16404,16350,16354,16027.055602543322
2025-12-18T14:15:00+05:30,16351,16376,16290,16331,16027.912690525885
2025-12-18T15:15:00+05:30,16331,16360,16306,16306,16028.32898254143
2025-12-19T09:15:00+05:30,16352,16399,16340,16367,16028.87170694828
2025-12-19T10:15:00+05:30,16367,16423,16361,16414,16029.715911556224
2025-12-19T11:15:00+05:30,16412,16475,16412,16448,16030.109727759278
2025-12-19T12:15:00+05:30,16449,16456,16429,16433,16030.400454041117
2025-12-19T13:15:00+05:30,16431,16450,16430,16445,16030.837460000062
2025-12-19T14:15:00+05:30,16441,16457,16408,16412,16033.453512784938
