time,open,high,low,close,Up Trend,Down Trend,EMA
2026-03-12T10:05:00+05:30,143.24,143.24,142.8,142.88,,144.17639806329785,146.3379098228182
2026-03-12T10:10:00+05:30,142.88,142.97,142.6,142.6,,144.17639806329785,146.33044147152387
2026-03-12T10:15:00+05:30,142.65,142.95,142.62,142.87,,144.17639806329785,146.3235275025498
2026-03-12T10:20:00+05:30,142.95,142.95,142.69,142.92,,144.17639806329785,146.31672724779946
2026-03-12T10:25:00+05:30,142.92,143.57,142.92,143.36,,144.17639806329785,146.3108197008508
2026-03-12T10:30:00+05:30,143.23,143.53,143,143.53,,144.17639806329785,146.3052636175324
2026-03-12T10:35:00+05:30,143.53,143.9,143.53,143.7,,144.17639806329785,146.30005829561927
2026-03-12T10:40:00+05:30,143.64,144,143.57,143.72,,144.17639806329785,146.29490333398965
2026-03-12T10:45:00+05:30,143.66,143.72,143.5,143.6,,144.17639806329785,146.28951891174393
2026-03-12T10:50:00+05:30,143.6,143.72,143.51,143.64,,144.17639806329785,146.28422516766452
2026-03-12T10:55:00+05:30,143.51,143.82,143.5,143.72,,144.17639806329785,146.27910184065618
2026-03-12T11:00:00+05:30,143.71,144.05,143.71,144.05,,144.17639806329785,146.2746480907248
2026-03-12T11:05:00+05:30,144.07,144.19,143.79,143.79,,144.17639806329785,146.2696837588752
2026-03-12T11:10:00+05:30,143.93,144.19,143.91,144.01,,144.17639806329785,146.2651689062101
2026-03-12T11:15:00+05:30,144.06,144.18,143.97,144,,144.17639806329785,146.26064309420968
2026-03-12T11:20:00+05:30,144.07,144.07,143.71,144,,144.17639806329785,146.25612632479067
2026-03-12T11:25:00+05:30,144,144.2,143.93,144.03,,144.17639806329785,146.25167851994593
2026-03-12T11:30:00+05:30,143.99,144.11,143.84,143.84,,144.17639806329785,146.24685998144454
2026-03-12T11:35:00+05:30,143.86,144.2,143.86,144.11,,144.17639806329785,146.24259053093218
2026-03-12T11:40:00+05:30,144.3,144.4,144.11,144.23,143.18196284819956,,146.23856937103022
2026-03-12T11:45:00+05:30,144.23,144.23,143.5,143.51,143.18196284819956,,146.23311768397522
2026-03-12T11:50:00+05:30,143.51,143.75,143.4,143.59,143.18196284819956,,146.2278367295617
2026-03-12T11:55:00+05:30,143.71,143.95,143.59,143.89,143.18196284819956,,146.22316572710503
2026-03-12T12:00:00+05:30,143.89,143.94,143.13,143.75,143.18196284819956,,146.21822433704088
2026-03-12T12:05:00+05:30,143.84,143.87,143.69,143.69,143.18196284819956,,146.21317293976406
2026-03-12T12:10:00+05:30,143.74,143.88,143.54,143.88,143.18196284819956,,146.20851125556874
2026-03-12T12:15:00+05:30,143.99,143.99,143.65,143.75,143.18196284819956,,146.203599145168
2026-03-12T12:20:00+05:30,143.75,144.07,143.64,143.97,143.18196284819956,,146.19913640961323
2026-03-12T12:25:00+05:30,144,144,143.7,143.85,143.18196284819956,,146.19444283037325
2026-03-12T12:30:00+05:30,143.9,143.9,143.36,143.36,143.18196284819956,,146.18877960793495
2026-03-12T12:35:00+05:30,143.36,143.5,143.36,143.49,143.18196284819956,,146.18338744088612
2026-03-12T12:40:00+05:30,143.45,143.45,143.09,143.29,143.18196284819956,,146.17760644699823
2026-03-12T12:45:00+05:30,143.33,143.55,143.33,143.4,143.18196284819956,,146.17205678376746
2026-03-12T12:50:00+05:30,143.49,143.75,143.37,143.5,143.18196284819956,,146.16671800897473
2026-03-12T12:55:00+05:30,143.49,143.53,143.43,143.5,143.18196284819956,,146.1613899010647
2026-03-12T13:00:00+05:30,143.5,143.5,143.32,143.41,143.18196284819956,,146.1558926185451
2026-03-12T13:05:00+05:30,143.4,143.4,143.11,143.39,143.18196284819956,,146.150366359567
2026-03-12T13:10:00+05:30,143.39,143.48,143.29,143.45,143.18196284819956,,146.14497102218525
2026-03-12T13:15:00+05:30,143.45,143.56,143.36,143.38,143.18196284819956,,146.13944660455851
2026-03-12T13:20:00+05:30,143.44,143.53,143.37,143.53,143.18196284819956,,146.13423292502893
2026-03-12T13:25:00+05:30,143.54,143.73,143.54,143.7,143.18196284819956,,146.12936932278112
2026-03-12T13:30:00+05:30,143.74,143.98,143.64,143.85,143.18196284819956,,146.12481513832
2026-03-12T13:35:00+05:30,143.57,143.96,143.57,143.73,143.18196284819956,,146.1200302928888
2026-03-12T13:40:00+05:30,143.8,143.96,143.65,143.96,143.18196284819956,,146.11571454804786
2026-03-12T13:45:00+05:30,143.95,144.07,143.71,143.77,143.18196284819956,,146.1110278056941
2026-03-12T13:50:00+05:30,143.79,143.79,143.51,143.53,143.18196284819956,,146.10587090698144
2026-03-12T13:55:00+05:30,143.52,143.53,143.25,143.26,143.18196284819956,,146.10018485122322
2026-03-12T14:00:00+05:30,143.27,143.49,143.27,143.42,143.18196284819956,,146.09482983653547
2026-03-12T14:05:00+05:30,143.27,143.51,143.2,143.2,143.18196284819956,,146.0890459607382
2026-03-12T14:10:00+05:30,143.2,143.31,142.86,143.3,143.18196284819956,,146.0834734413361
2026-03-12T14:15:00+05:30,143.3,143.3,143.17,143.21,143.18196284819956,,146.0777322356591
2026-03-12T14:20:00+05:30,143.21,143.34,143.03,143.11,,144.0097151144328,146.07180270072274
2026-03-12T14:25:00+05:30,143.11,143.2,142.71,142.86,,143.89140731842147,146.06538551250952
2026-03-12T14:30:00+05:30,142.83,142.87,142.75,142.8,,143.68876658657936,146.05886126573128
2026-03-12T14:35:00+05:30,142.88,142.88,142.74,142.75,,143.6428899279214,146.05225015431122
2026-03-12T14:40:00+05:30,142.75,142.8,142.25,142.26,,143.43960093512928,146.04467323092598
