time,open,high,low,close,EMA
2020-11-23T09:15:00+05:30,961.65,963.65,935,952.05,
2020-11-23T09:18:00+05:30,952,952,943.2,951,
2020-11-23T09:21:00+05:30,951.85,954.75,951.85,954.75,
2020-11-23T09:24:00+05:30,955.3,960,955.3,955.5,
2020-11-23T09:27:00+05:30,961.05,961.05,957.85,957.85,
2020-11-23T09:30:00+05:30,960.3,969.25,960.3,964.35,
2020-11-23T09:33:00+05:30,965.25,976.7,965.25,974.5,
2020-11-23T09:36:00+05:30,975,976,975,976,
2020-11-23T09:39:00+05:30,975.15,975.15,972.5,972.5,
2020-11-23T09:42:00+05:30,975,975,972.1,972.1,
2020-11-23T09:45:00+05:30,975,975,972.1,972.1,
2020-11-23T09:48:00+05:30,974.55,974.55,974.55,974.55,
2020-11-23T09:51:00+05:30,975.15,975.15,975.15,975.15,
2020-11-23T09:54:00+05:30,975.15,975.15,973.4,973.4,
2020-11-23T09:57:00+05:30,973.2,975.15,973.2,973.5,
2020-11-23T10:00:00+05:30,973.5,973.5,969,973.45,
2020-11-23T10:03:00+05:30,970.55,970.55,969.75,969.75,
2020-11-23T10:06:00+05:30,971.9,971.9,970.95,971,
2020-11-23T10:09:00+05:30,972.75,975.65,972.75,975.65,
2020-11-23T10:12:00+05:30,975.7,975.7,974.35,974.4,
2020-11-23T10:15:00+05:30,976,976,974,974,
2020-11-23T10:18:00+05:30,975,975,975,975,
2020-11-23T10:21:00+05:30,973,974.35,973,974.35,
2020-11-23T10:24:00+05:30,974.5,990.95,974.5,990.95,
2020-11-23T10:27:00+05:30,990.95,998.6,990.95,993.65,
2020-11-23T10:30:00+05:30,994,994,990,990,
2020-11-23T10:33:00+05:30,988.05,988.05,984.9,984.9,
2020-11-23T10:36:00+05:30,984,984,981.9,983.75,
2020-11-23T10:39:00+05:30,982,982,982,982,
2020-11-23T10:42:00+05:30,982,984.65,982,984.65,
2020-11-23T10:45:00+05:30,982.35,982.35,982.35,982.35,
2020-11-23T10:48:00+05:30,982.3,982.3,980,980,
2020-11-23T10:51:00+05:30,984.35,984.35,984.35,984.35,
2020-11-23T10:54:00+05:30,981.4,981.4,981.4,981.4,
2020-11-23T11:00:00+05:30,983.5,983.5,983.5,983.5,
2020-11-23T11:03:00+05:30,984.1,984.1,980,980,
2020-11-23T11:06:00+05:30,981.3,981.75,981.3,981.75,
2020-11-23T11:18:00+05:30,982,982,975,975,
2020-11-23T11:21:00+05:30,974.5,975.85,966.35,966.35,
2020-11-23T11:24:00+05:30,968.8,976.7,968.8,975,
2020-11-23T11:27:00+05:30,975.5,975.5,975.5,975.5,
2020-11-23T11:30:00+05:30,978.5,978.5,978.5,978.5,
2020-11-23T11:33:00+05:30,976.35,976.35,976.35,976.35,
2020-11-23T11:48:00+05:30,976.65,976.65,976.5,976.5,
2020-11-23T11:57:00+05:30,976.95,976.95,976.95,976.95,
2020-11-23T12:00:00+05:30,978,978,977,977,
2020-11-23T12:06:00+05:30,977.3,977.3,976.95,976.95,
2020-11-23T12:12:00+05:30,978.85,978.85,978.85,978.85,
2020-11-23T12:15:00+05:30,976.7,976.85,976.7,976.85,
2020-11-23T12:18:00+05:30,978.8,978.8,978.8,978.8,
2020-11-23T12:21:00+05:30,977.35,977.35,977.35,977.35,
2020-11-23T12:30:00+05:30,978.7,978.7,978.7,978.7,
2020-11-23T12:45:00+05:30,977.95,977.95,977.95,977.95,
2020-11-23T12:48:00+05:30,977.25,977.25,977.25,977.25,
2020-11-23T12:51:00+05:30,979.35,979.35,979.35,979.35,
2020-11-23T12:57:00+05:30,979,979,977,978.85,
2020-11-23T13:00:00+05:30,976,976,976,976,
2020-11-23T13:03:00+05:30,975,977,975,977,
2020-11-23T13:06:00+05:30,978.45,978.45,978.45,978.45,
2020-11-23T13:09:00+05:30,976.95,976.95,976.9,976.9,
2020-11-23T13:12:00+05:30,976.9,977.7,976.9,977.7,
2020-11-23T13:15:00+05:30,977,977,977,977,
2020-11-23T13:18:00+05:30,978,978,978,978,
2020-11-23T13:21:00+05:30,979,981.1,979,981.1,
2020-11-23T13:24:00+05:30,982,982,979.6,979.6,
2020-11-23T13:30:00+05:30,980.1,980.35,980.1,980.35,
2020-11-23T13:33:00+05:30,981.55,981.55,981.55,981.55,
2020-11-23T13:36:00+05:30,982,982,982,982,
2020-11-23T13:39:00+05:30,981.9,981.9,981.9,981.9,
2020-11-23T13:42:00+05:30,982,982,982,982,
2020-11-23T13:45:00+05:30,980.5,980.5,980.5,980.5,
2020-11-23T13:54:00+05:30,980,980,980,980,
2020-11-23T13:57:00+05:30,982,982,982,982,
2020-11-23T14:03:00+05:30,982,983.5,982,983.25,
2020-11-23T14:06:00+05:30,985,985,984.5,985,
2020-11-23T14:09:00+05:30,985,985,985,985,
2020-11-23T14:12:00+05:30,983.2,983.2,981.25,981.25,
2020-11-23T14:15:00+05:30,985,985,982,982,
2020-11-23T14:18:00+05:30,982,982,982,982,
2020-11-23T14:27:00+05:30,982,982,982,982,
2020-11-23T14:30:00+05:30,982,982,982,982,
2020-11-23T14:33:00+05:30,981.5,981.5,981.5,981.5,
2020-11-23T14:39:00+05:30,981.8,981.8,981.75,981.75,
2020-11-23T14:42:00+05:30,985,985,985,985,
2020-11-23T14:45:00+05:30,982.05,982.05,975,979.6,
2020-11-23T14:48:00+05:30,976.9,982.35,976.35,980.25,
2020-11-23T14:51:00+05:30,979.45,979.45,979.45,979.45,
2020-11-23T14:54:00+05:30,981.75,981.75,979.5,979.5,
2020-11-23T14:57:00+05:30,979,979,979,979,
2020-11-23T15:03:00+05:30,980.65,982.2,980.65,982.2,
2020-11-23T15:06:00+05:30,981.7,984.9,981.7,982.9,
2020-11-23T15:09:00+05:30,981.75,985,981,982.05,
2020-11-23T15:12:00+05:30,982.2,985,982.2,984.95,
2020-11-23T15:15:00+05:30,984.95,984.95,984,984,
2020-11-23T15:18:00+05:30,984.95,989.45,984.95,987.4,
2020-11-23T15:21:00+05:30,986,986,980,980,
2020-11-23T15:24:00+05:30,980,981,976,976,
2020-11-23T15:27:00+05:30,976.05,984.75,975,976.1,
2020-11-24T09:15:00+05:30,997,997,976.35,984.55,
2020-11-24T09:18:00+05:30,983.5,985.1,983.5,985.1,
2020-11-24T09:21:00+05:30,980,983.35,980,983.35,
2020-11-24T09:24:00+05:30,983,983,980.95,982,
2020-11-24T09:30:00+05:30,982.05,982.05,980,980.15,
2020-11-24T09:33:00+05:30,982.35,983.75,982.35,983.75,
2020-11-24T09:36:00+05:30,983.8,993.85,983.8,984.95,
2020-11-24T09:39:00+05:30,987.8,987.8,985,985.05,
2020-11-24T09:42:00+05:30,986.65,986.9,986.65,986.9,
2020-11-24T09:45:00+05:30,985,987.2,985,987.2,
2020-11-24T09:48:00+05:30,985,985,984.35,984.35,
2020-11-24T09:51:00+05:30,984.95,984.95,984.45,984.45,
2020-11-24T09:57:00+05:30,984.45,984.45,984.45,984.45,
2020-11-24T10:00:00+05:30,984.45,984.45,984.45,984.45,
2020-11-24T10:03:00+05:30,983.75,983.75,983.75,983.75,
2020-11-24T10:06:00+05:30,983.75,983.75,983.75,983.75,
2020-11-24T10:09:00+05:30,985,985,985,985,
2020-11-24T10:12:00+05:30,984.45,984.45,984.45,984.45,
